"graph","embedder","pk_ratio","name"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_37","struc2vec",0.22,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_19","struc2vec",0.208888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_20","struc2vec",0.197777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_47","struc2vec",0.248888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_28","struc2vec",0.206666666666667,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_42","struc2vec",0.211111111111111,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_34","struc2vec",0.213333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_27","struc2vec",0.2,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_36","struc2vec",0.231111111111111,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_48","struc2vec",0.215555555555556,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_4","struc2vec",0.255555555555556,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_45","struc2vec",0.244444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_41","struc2vec",0.204444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_17","struc2vec",0.24,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_21","struc2vec",0.204444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_1","struc2vec",0.215555555555556,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_30","struc2vec",0.191111111111111,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_10","struc2vec",0.182222222222222,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_6","struc2vec",0.222222222222222,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_40","struc2vec",0.224444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_9","struc2vec",0.248888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_11","struc2vec",0.226666666666667,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_15","struc2vec",0.204444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_3","struc2vec",0.244444444444444,"100-0"
