edgelist,group,embedder,similarity_metric,type,value
input_data/geometric_graphs/graph_sample_41,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9705296404275996
input_data/geometric_graphs/graph_sample_28,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9818181818181818
input_data/geometric_graphs/graph_sample_28,geometric_graphs,kamada_kawai,None,time,0.4648094177246094
input_data/geometric_graphs/graph_sample_28,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9705053449951409
input_data/geometric_graphs/graph_sample_2,geometric_graphs,spring,EuclidianDistance,f_score,0.8666666666666667
input_data/geometric_graphs/graph_sample_2,geometric_graphs,spring,None,time,0.1457879543304443
input_data/geometric_graphs/graph_sample_2,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.8472301587301587
input_data/geometric_graphs/graph_sample_15,geometric_graphs,spring,EuclidianDistance,f_score,0.8120300751879701
input_data/geometric_graphs/graph_sample_15,geometric_graphs,spring,None,time,0.1296348571777343
input_data/geometric_graphs/graph_sample_15,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.8681666666666666
input_data/geometric_graphs/graph_sample_49,geometric_graphs,spring,EuclidianDistance,f_score,0.8990825688073394
input_data/geometric_graphs/graph_sample_49,geometric_graphs,spring,None,time,0.1202583312988281
input_data/geometric_graphs/graph_sample_49,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.9635079365079364
input_data/geometric_graphs/graph_sample_36,geometric_graphs,spring,EuclidianDistance,f_score,0.8505154639175259
input_data/geometric_graphs/graph_sample_36,geometric_graphs,spring,None,time,0.1624608039855957
input_data/geometric_graphs/graph_sample_36,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.8244285714285714
input_data/geometric_graphs/graph_sample_4,geometric_graphs,spring,EuclidianDistance,f_score,0.8757396449704142
input_data/geometric_graphs/graph_sample_4,geometric_graphs,spring,None,time,0.1168694496154785
input_data/geometric_graphs/graph_sample_4,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.9227619047619048
input_data/geometric_graphs/graph_sample_1,geometric_graphs,spring,EuclidianDistance,f_score,0.8944723618090452
input_data/geometric_graphs/graph_sample_1,geometric_graphs,spring,None,time,0.123347520828247
input_data/geometric_graphs/graph_sample_1,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.934531746031746
input_data/geometric_graphs/graph_sample_19,geometric_graphs,spring,EuclidianDistance,f_score,0.8392370572207085
input_data/geometric_graphs/graph_sample_19,geometric_graphs,spring,None,time,0.1338095664978027
input_data/geometric_graphs/graph_sample_19,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.8431190476190475
input_data/geometric_graphs/graph_sample_35,geometric_graphs,spring,EuclidianDistance,f_score,0.9244186046511628
input_data/geometric_graphs/graph_sample_35,geometric_graphs,spring,None,time,0.1173310279846191
input_data/geometric_graphs/graph_sample_35,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.971904761904762
input_data/geometric_graphs/graph_sample_38,geometric_graphs,spring,EuclidianDistance,f_score,0.9080118694362018
input_data/geometric_graphs/graph_sample_38,geometric_graphs,spring,None,time,0.1318306922912597
input_data/geometric_graphs/graph_sample_38,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.9401428571428572
input_data/geometric_graphs/graph_sample_43,geometric_graphs,spring,EuclidianDistance,f_score,0.8520710059171598
input_data/geometric_graphs/graph_sample_43,geometric_graphs,spring,None,time,0.1116378307342529
input_data/geometric_graphs/graph_sample_43,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.8805714285714284
input_data/geometric_graphs/graph_sample_29,geometric_graphs,spring,EuclidianDistance,f_score,0.9090909090909092
input_data/geometric_graphs/graph_sample_29,geometric_graphs,spring,None,time,0.1163632869720459
input_data/geometric_graphs/graph_sample_29,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.9565273728539034
input_data/geometric_graphs/graph_sample_16,geometric_graphs,spring,EuclidianDistance,f_score,0.8994413407821229
input_data/geometric_graphs/graph_sample_16,geometric_graphs,spring,None,time,0.1065139770507812
input_data/geometric_graphs/graph_sample_16,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.9468809523809524
input_data/geometric_graphs/graph_sample_5,geometric_graphs,spring,EuclidianDistance,f_score,0.9081364829396326
input_data/geometric_graphs/graph_sample_5,geometric_graphs,spring,None,time,0.1564686298370361
input_data/geometric_graphs/graph_sample_5,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.9515792031098154
input_data/geometric_graphs/graph_sample_11,geometric_graphs,spring,EuclidianDistance,f_score,0.9333333333333332
input_data/geometric_graphs/graph_sample_11,geometric_graphs,spring,None,time,0.1327564716339111
input_data/geometric_graphs/graph_sample_11,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.9535714285714286
input_data/geometric_graphs/graph_sample_20,geometric_graphs,spring,EuclidianDistance,f_score,0.9043927648578812
input_data/geometric_graphs/graph_sample_20,geometric_graphs,spring,None,time,0.1276164054870605
input_data/geometric_graphs/graph_sample_20,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.9554761904761904
input_data/geometric_graphs/graph_sample_33,geometric_graphs,spring,EuclidianDistance,f_score,0.7572383073496659
input_data/geometric_graphs/graph_sample_33,geometric_graphs,spring,None,time,0.1332647800445556
input_data/geometric_graphs/graph_sample_33,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.7818333333333334
input_data/geometric_graphs/graph_sample_12,geometric_graphs,spring,EuclidianDistance,f_score,0.8600508905852418
input_data/geometric_graphs/graph_sample_12,geometric_graphs,spring,None,time,0.1112749576568603
input_data/geometric_graphs/graph_sample_12,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.8692222222222221
input_data/geometric_graphs/graph_sample_14,geometric_graphs,spring,EuclidianDistance,f_score,0.8841463414634145
input_data/geometric_graphs/graph_sample_14,geometric_graphs,spring,None,time,0.1601974964141845
input_data/geometric_graphs/graph_sample_14,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.899
input_data/geometric_graphs/graph_sample_48,geometric_graphs,spring,EuclidianDistance,f_score,0.8632075471698113
input_data/geometric_graphs/graph_sample_48,geometric_graphs,spring,None,time,0.1307013034820556
input_data/geometric_graphs/graph_sample_48,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.8681904761904762
input_data/geometric_graphs/graph_sample_37,geometric_graphs,spring,EuclidianDistance,f_score,0.8436018957345972
input_data/geometric_graphs/graph_sample_37,geometric_graphs,spring,None,time,0.1228375434875488
input_data/geometric_graphs/graph_sample_37,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.8400874635568513
input_data/geometric_graphs/graph_sample_47,geometric_graphs,spring,EuclidianDistance,f_score,0.7075471698113208
input_data/geometric_graphs/graph_sample_47,geometric_graphs,spring,None,time,0.1194522380828857
input_data/geometric_graphs/graph_sample_47,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.7571428571428571
input_data/geometric_graphs/graph_sample_7,geometric_graphs,spring,EuclidianDistance,f_score,0.9455587392550144
input_data/geometric_graphs/graph_sample_7,geometric_graphs,spring,None,time,0.1324307918548584
input_data/geometric_graphs/graph_sample_7,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.9710714285714286
input_data/geometric_graphs/graph_sample_8,geometric_graphs,spring,EuclidianDistance,f_score,0.8676056338028169
input_data/geometric_graphs/graph_sample_8,geometric_graphs,spring,None,time,0.1295571327209472
input_data/geometric_graphs/graph_sample_8,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.9136904761904762
input_data/geometric_graphs/graph_sample_0,geometric_graphs,spring,EuclidianDistance,f_score,0.7815126050420168
input_data/geometric_graphs/graph_sample_0,geometric_graphs,spring,None,time,0.1210589408874511
input_data/geometric_graphs/graph_sample_0,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.8079761904761905
input_data/geometric_graphs/graph_sample_9,geometric_graphs,spring,EuclidianDistance,f_score,0.8128342245989305
input_data/geometric_graphs/graph_sample_9,geometric_graphs,spring,None,time,0.1243705749511718
input_data/geometric_graphs/graph_sample_9,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.8355
input_data/geometric_graphs/graph_sample_46,geometric_graphs,spring,EuclidianDistance,f_score,0.9176470588235294
input_data/geometric_graphs/graph_sample_46,geometric_graphs,spring,None,time,0.141446828842163
input_data/geometric_graphs/graph_sample_46,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.9383492063492064
input_data/geometric_graphs/graph_sample_22,geometric_graphs,spring,EuclidianDistance,f_score,0.8353221957040573
input_data/geometric_graphs/graph_sample_22,geometric_graphs,spring,None,time,0.1590108871459961
input_data/geometric_graphs/graph_sample_22,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.8105238095238095
input_data/geometric_graphs/graph_sample_26,geometric_graphs,spring,EuclidianDistance,f_score,0.9114583333333334
input_data/geometric_graphs/graph_sample_26,geometric_graphs,spring,None,time,0.1326904296875
input_data/geometric_graphs/graph_sample_26,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.9117142857142858
input_data/geometric_graphs/graph_sample_31,geometric_graphs,spring,EuclidianDistance,f_score,0.8368794326241135
input_data/geometric_graphs/graph_sample_31,geometric_graphs,spring,None,time,0.1463508605957031
input_data/geometric_graphs/graph_sample_31,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.8514047619047619
input_data/geometric_graphs/graph_sample_17,geometric_graphs,spring,EuclidianDistance,f_score,0.9488636363636364
input_data/geometric_graphs/graph_sample_17,geometric_graphs,spring,None,time,0.1718931198120117
