edgelist,group,embedder,similarity_metric,type,value
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_25,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.863066538090646
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_25,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5443651676177979
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_25,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8081751547716918
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_23,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8693126815101646
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_23,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.527620792388916
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_23,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8212881762556811
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_24,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8851022395326194
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_24,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5546975135803223
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_24,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8454205765491095
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_30,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8687068114511353
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_30,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5901284217834473
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_30,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8255406530634235
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_21,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8866571018651364
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_21,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.6416878700256348
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_21,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.841183923963111
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_6,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8765133171912832
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_6,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5529799461364746
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_6,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8273051886258718
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_3,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8599127484246243
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_3,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5544681549072266
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_3,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8086028738514507
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_34,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8826335877862596
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_34,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.592095136642456
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_34,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8341755466927744
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_27,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8705071393402265
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_27,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5954647064208984
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_27,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8322952990058752
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_32,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8676470588235294
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_32,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5389513969421387
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_32,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.815926562765158
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_18,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8661493695441318
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_18,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5073728561401367
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_18,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8136587999258778
